year,co2,ch4,n2o,other_wmghg,o3,h2o_stratospheric,contrails,aerosol-radiation_interactions,aerosol-cloud_interactions,bc_on_snow,land_use,volcanic,solar,nonco2_wmghg,aerosol,chapter2_other_anthro,total_anthropogenic,total_natural,total,,,
1750,0,0,0,0,0,0,0,0,0,0,0,0.199978066,0.097590262,0,0,0,0,0.297568328,0.297568328,,,
1751,0.001416069,0.000508282,7.40E-05,7.96E-10,0.0003,4.67E-05,0,0.000600808,0.004673547,1.74E-05,-0.000229074,0.199990368,0.079243973,0.00058226,0.005274355,-0.000164917,0.007407766,0.279234341,0.286642108,0.00058226,0.005274355,-0.000211635
1752,0.002831801,0.001016257,0.000147946,1.59E-09,0.0006,9.34E-05,0,0.001246775,0.007281382,3.49E-05,-0.000458148,0.199994508,0.049166043,0.001164204,0.008528158,-0.000329849,0.012794313,0.249160551,0.261954864,,,
1753,0.004247196,0.001523925,0.000221906,2.39E-09,0.0009,0.000140071,0,0.000536522,0.004741737,5.23E-05,-0.000687222,0.199995892,0.012988284,0.001745833,0.005278258,-0.000494858,0.011676429,0.212984176,0.224660605,,,
1754,0.005662254,0.002031287,0.000295859,3.18E-09,0.0012,0.000186705,0,-0.000874664,-0.001999722,6.97E-05,-0.000916296,0.199996357,-0.021426608,0.002327149,-0.002874386,-0.000659883,0.005655133,0.178569749,0.184224882,,,
1755,0.007076975,0.002538343,0.000369803,3.98E-09,0.0015,0.000233311,0,0.000584558,0.001293127,8.71E-05,-0.001145369,0.173027884,-0.045903927,0.00290815,0.001877684,-0.000824954,0.012537855,0.127123956,0.139661812,,,
1756,0.00849136,0.003045094,0.00044374,4.77E-09,0.0018,0.000279889,0,0.000181816,0.004471208,0.000109854,-0.001374443,-0.077672576,-0.053485812,0.003488838,0.004653024,-0.000984701,0.017448521,-0.131158388,-0.113709867,,,
1757,0.009905408,0.00355154,0.000517668,5.57E-09,0.0021,0.000326438,0,0.000450482,-0.005491773,0.000127215,-0.001603517,0.066351195,-0.034343893,0.004069213,-0.005041292,-0.001149863,0.009883466,0.032007301,0.041890767,,,
1758,0.01131912,0.004057682,0.000591588,6.37E-09,0.0024,0.00037296,0,0.000463808,-0.001830206,0.000144559,-0.001832591,0.153268066,0.017013236,0.004649276,-0.001366398,-0.001315072,0.015686926,0.170281302,0.185968228,,,
1759,0.012732496,0.00456352,0.0006655,7.16E-09,0.0027,0.000419454,0,-0.000160438,-0.002643909,0.000161884,-0.002061665,0.184216499,0.067512332,0.005229027,-0.002804347,-0.001480326,0.01637685,0.251728831,0.268105681,,,
1760,0.014145536,0.005069055,0.000739404,7.96E-09,0.003,0.00046592,0,-0.001401184,-0.00678171,0.000179161,-0.002290739,0.194692096,0.092395267,0.005808467,-0.008182894,-0.001645657,0.013125452,0.287087363,0.300212815,,,
1761,0.015558241,0.005574287,0.0008133,8.75E-09,0.0033,0.000512359,0,-5.10E-05,-0.005145192,0.000201527,-0.002519813,0.198214589,0.086248636,0.006387596,-0.005196146,-0.001805927,0.018243763,0.284463225,0.302706988,,,
1762,0.01697061,0.006079216,0.000887188,9.55E-09,0.0036,0.000558769,0,-0.000670317,-0.001573338,0.000215898,-0.002748887,-0.806271446,0.064158206,0.006966414,-0.002243656,-0.00197422,0.023319149,-0.742113239,-0.718794091,,,
1763,0.018382644,0.006583844,0.000961068,1.03E-08,0.0039,0.000605152,0,-0.000452775,-0.00183111,0.00023025,-0.002977961,-0.495250595,0.030819754,0.007544923,-0.002283885,-0.002142559,0.025401123,-0.464430841,-0.439029718,,,
1764,0.019794342,0.007088171,0.00103494,1.11E-08,0.0042,0.000651507,0,0.001833799,0.008002684,0.000244585,-0.003207034,-0.049791932,-0.005935226,0.008123122,0.009836483,-0.002310943,0.039643005,-0.055727159,-0.016084154,,,
1765,0.021205706,0.007592196,0.001108804,1.19E-08,0.0045,0.000697834,0,-0.000706427,-0.004603439,0.000258902,-0.003436108,0.115351391,-0.035779147,0.008701012,-0.005309866,-0.002479372,0.02661748,0.079572243,0.106189724,,,
1766,0.022616735,0.008095921,0.00118266,1.27E-08,0.0048,0.000744134,0,0.000815317,0.000707445,0.000283818,-0.003665182,-0.20472549,-0.049897677,0.009278594,0.001522762,-0.002637231,0.03558086,-0.254623168,-0.219042307,,,
1767,0.024027429,0.008599346,0.001256508,1.35E-08,0.0051,0.000790406,0,0.00065604,0.000108771,0.000298099,-0.003894256,-0.262005657,-0.036715182,0.009855868,0.000764811,-0.002805751,0.036942357,-0.29872084,-0.261778483,,,
1768,0.025437789,0.009102472,0.001330348,1.43E-08,0.0054,0.00083665,0,-0.000632181,-0.012373115,0.000312363,-0.00412333,0.026420788,0.019446927,0.010432834,-0.013005296,-0.002974317,0.02529101,0.045867715,0.071158725,,,
1769,0.026847815,0.009605299,0.001404179,1.51E-08,0.0057,0.000882868,0,-0.000615405,-0.006228795,0.000326609,-0.004352404,0.140854668,0.085593411,0.011009493,-0.0068442,-0.003142928,0.03357018,0.22644808,0.26001826,,,
1770,0.028257506,0.010107827,0.001478003,1.59E-08,0.006,0.000929057,0,-0.00061073,-0.006496589,0.000340837,-0.004581478,0.033996593,0.117262601,0.011585846,-0.007107319,-0.003311584,0.03542445,0.151259194,0.186683644,,,
1771,0.029666864,0.010610057,0.001551819,1.67E-08,0.0063,0.00097522,0,0.000658387,0.001823868,0.000424236,-0.004810552,0.092364024,0.109711917,0.012161893,0.002482255,-0.003411096,0.047199915,0.202075941,0.249275857,,,
1772,0.031075888,0.01111199,0.001625627,1.75E-08,0.0066,0.001021355,0,0.001391046,0.005471857,0.000496419,-0.005039626,0.161483452,0.086779056,0.012737634,0.006862903,-0.003521852,0.053754572,0.248262508,0.30201708,,,
1773,0.032484578,0.011613625,0.001699426,1.83E-08,0.0069,0.001067462,0,0.000970399,0.003942088,0.000568554,-0.005268699,0.186952381,0.050835306,0.01331307,0.004912487,-0.003632684,0.053977451,0.237787686,0.291765137,,,
1774,0.033892935,0.012114964,0.001773218,1.91E-08,0.0072,0.001113543,0,-0.000879843,-0.008238385,0.000640641,-0.005497773,0.195610024,0.010086575,0.013888201,-0.009118228,-0.00374359,0.042119319,0.205696599,0.247815918,,,
1775,0.035300958,0.012616007,0.001847002,1.99E-08,0.0075,0.001159596,0,0.000878345,-0.003450319,0.000712681,-0.005726847,0.198522881,-0.025638766,0.014463028,-0.002571973,-0.00385457,0.050837443,0.172884115,0.223721558,,,
1776,0.036708649,0.013116753,0.001920777,2.07E-08,0.0078,0.001205622,0,0.000495967,0.000830594,0.000796456,-0.005955921,0.199501557,-0.046793161,0.015037551,0.001326561,-0.003953843,0.056918918,0.152708396,0.209627314,,,
1777,0.038116007,0.013617205,0.001994545,2.15E-08,0.0081,0.00125162,0,0.001167707,-0.005317884,0.000868401,-0.006184995,0.199830301,-0.042986618,0.015611772,-0.004150177,-0.004064974,0.053612627,0.156843683,0.210456311,,,
1778,0.039523031,0.014117362,0.002068305,2.23E-08,0.0084,0.001297592,0,0.000869444,-0.00960609,0.000940298,-0.006414069,0.199940734,0.001646658,0.016185689,-0.008736647,-0.004176178,0.051195895,0.201587393,0.252783288,,,
1779,0.040929724,0.014617224,0.002142057,2.31E-08,0.0087,0.001343537,0,0.000848229,-0.004261162,0.001012148,-0.006643143,0.199977834,0.07305054,0.016759304,-0.003412933,-0.004287458,0.058688637,0.273028374,0.331717011,,,
1780,0.042336084,0.015116793,0.0022158,2.39E-08,0.009,0.001389455,0,-0.000536844,-0.011086656,0.001125203,-0.006872217,0.199990297,0.115827347,0.017332617,-0.011623501,-0.004357559,0.052687641,0.315817644,0.368505284,,,
1781,0.043742112,0.015616068,0.002289536,2.47E-08,0.0093,0.001435345,0,0.000897247,-0.007963411,0.001165637,-0.007101291,0.199994485,0.115671341,0.017905629,-0.007066165,-0.004500308,0.059381268,0.315665826,0.375047093,,,
1782,0.045147808,0.01611505,0.002363264,2.55E-08,0.0096,0.001481209,0,0.000107435,-0.005716968,0.001193721,-0.007330364,0.199995887,0.091381229,0.01847834,-0.005609533,-0.004655434,0.062961181,0.291377116,0.354338297,,,
1783,0.046553172,0.01661374,0.002436984,2.63E-08,0.0099,0.001527046,0,0.00033194,-0.003911862,0.001221806,-0.007559438,-1.792085248,0.054517044,0.01905075,-0.003579922,-0.004810586,0.067113413,-1.737568204,-1.670454791,,,
1784,0.047958204,0.017112138,0.002510696,2.71E-08,0.0102,0.001572856,0,0.002540111,0.002461668,0.001247585,-0.007788512,-3.881461175,0.010991409,0.01962286,0.005001779,-0.004968072,0.077814772,-3.870469765,-3.792654993,,,
1785,0.049362905,0.017610244,0.0025844,2.79E-08,0.0105,0.001618639,0,0.000180583,-0.006229737,0.001277111,-0.008017586,-1.476096235,-0.025701169,0.020194671,-0.006049154,-0.005121836,0.068886586,-1.501797403,-1.432910817,,,
1786,0.050767274,0.018108058,0.002658096,2.86E-08,0.0108,0.001664396,0,0.001583622,-0.001945719,0.001325282,-0.00824666,-0.547803265,-0.044999093,0.020766183,-0.000362097,-0.005256982,0.076714378,-0.592802358,-0.51608798,,,
1787,0.052171313,0.018605583,0.002731784,2.94E-08,0.0111,0.001710125,0,0.001161425,-0.006496281,0.001352873,-0.008475734,-0.113225751,-0.031301779,0.021337396,-0.005334856,-0.005412736,0.073861117,-0.14452753,-0.070666413,,,
1788,0.05357502,0.019102816,0.002805464,3.02E-08,0.0114,0.001755828,0,9.80E-05,-0.018128944,0.001395689,-0.008704808,0.091961834,0.037309598,0.021908311,-0.018030952,-0.00555329,0.063299088,0.129271432,0.19257052,,,
1789,0.054978397,0.01959976,0.002879136,3.10E-08,0.0117,0.001801505,0,0.000139149,-0.011680032,0.001423371,-0.008933882,0.163578309,0.117449808,0.022478928,-0.011540883,-0.005709006,0.071907435,0.281028117,0.352935552,,,
1790,0.056381443,0.020096415,0.0029528,3.18E-08,0.012,0.001847155,0,0.000174571,-0.012744976,0.001453639,-0.009162956,0.187757471,0.144626029,0.023049247,-0.012570405,-0.005862162,0.072998123,0.332383499,0.405381622,,,
1791,0.057784158,0.020592781,0.003026457,3.26E-08,0.0123,0.001892778,0,0.00108641,-0.004904594,0.001476394,-0.009392029,0.195885085,0.130523099,0.02361927,-0.003818184,-0.006022857,0.083862387,0.326408184,0.410270571,,,
1792,0.059186543,0.021088858,0.003100105,3.34E-08,0.0126,0.001938375,0,0.00174318,-0.001950147,0.001474002,-0.009621103,0.198615488,0.112348416,0.024188997,-0.000206967,-0.006208726,0.089559847,0.310963904,0.40052375,,,
1793,0.060588598,0.021584648,0.003173746,3.42E-08,0.0129,0.001983945,0,0.001111125,-0.002264544,0.001479555,-0.009850177,0.199532669,0.08156846,0.024758428,-0.001153419,-0.006386678,0.090706929,0.281101129,0.371808058,,,
1794,0.061990323,0.022080149,0.003247378,3.50E-08,0.0132,0.002029489,0,-0.000862018,-0.0147578,0.00147841,-0.010079251,0.199840762,0.045702713,0.025327563,-0.015619818,-0.006571353,0.078326716,0.245543475,0.323870191,,,
1795,0.063391718,0.022575364,0.003321003,3.58E-08,0.0135,0.002075006,0,0.000665626,-0.009943678,0.001480882,-0.010308325,0.199944254,0.00780889,0.025896403,-0.009278052,-0.006752437,0.086757632,0.207753144,0.294510775,,,
1796,0.064792784,0.023070292,0.00339462,3.66E-08,0.0138,0.002120498,0,-2.25E-05,-0.00482052,0.001485587,-0.010537399,0.055970543,-0.026059982,0.026464948,-0.004843004,-0.006931315,0.093283413,0.029910561,0.123193974,,,
1797,0.06619352,0.023564934,0.003468228,3.74E-08,0.0141,0.002165962,0,0.000742277,-0.011270142,0.001499316,-0.010766473,-0.053955853,-0.051098923,0.027033199,-0.010527865,-0.007101194,0.08969766,-0.105054775,-0.015357115,,,
1798,0.067593927,0.024059289,0.003541829,3.82E-08,0.0144,0.002211401,0,0.000386788,-0.014923987,0.001512173,-0.010995547,0.05753317,-0.063329782,0.027601157,-0.0145372,-0.007271972,0.087785912,-0.005796612,0.0819893,,,
1799,0.068994005,0.02455336,0.003615422,3.90E-08,0.0147,0.002256813,0,-0.000335051,-0.012889983,0.001530724,-0.011224621,0.149543034,-0.060802487,0.028168821,-0.013225035,-0.007437084,0.091200708,0.088740547,0.179941255,,,
1800,0.070393754,0.025047145,0.003689008,3.98E-08,0.015,0.002302199,0,-0.001440085,-0.016536026,0.001544179,-0.0114585,0.182930525,-0.042596603,0.028736193,-0.017976111,-0.007612122,0.088541713,0.140333922,0.228875635,,,
1801,0.071793174,0.025540646,0.003762585,4.06E-08,0.0153,0.002347559,0,-3.92E-05,-0.013782806,0.001607514,-0.011696886,0.194258535,-0.012721481,0.029303272,-0.013822042,-0.007741813,0.094832591,0.181537054,0.276369645,,,
1802,0.073192265,0.026033863,0.003836154,4.14E-08,0.0156,0.002392893,0,-0.001156567,-0.0139642,0.001695529,-0.011935272,0.198068871,0.015421976,0.029870059,-0.015120767,-0.00784685,0.095694707,0.213490847,0.309185554,,,
1803,0.074591028,0.026526796,0.003909716,4.22E-08,0.0159,0.002438201,0,-0.000591373,-0.009475843,0.001751527,-0.012173658,0.199349047,0.03258262,0.030436554,-0.010067216,-0.00798393,0.102876437,0.231931667,0.334808104,,,
1804,0.075989463,0.027019446,0.003983269,4.30E-08,0.0162,0.002483483,0,0.001307206,-0.007444193,0.00183855,-0.012412043,0.199779077,0.034860306,0.031002759,-0.006136987,-0.008090011,0.108965224,0.234639383,0.343604607,,,
1805,0.077387569,0.027511814,0.004056815,4.38E-08,0.0165,0.002528738,0,-0.000870941,-0.014633391,0.001884736,-0.012650429,0.199923531,0.026311185,0.031568672,-0.015504333,-0.008236955,0.101714955,0.226234716,0.327949671,,,
1806,0.078785348,0.028003898,0.004130353,4.46E-08,0.0168,0.002573968,0,0.000365066,-0.012631749,0.001957266,-0.012888815,0.199972049,0.011833841,0.032134296,-0.012266683,-0.008357581,0.10709538,0.21180589,0.31890127,,,
1807,0.080182799,0.028495701,0.004203883,4.54E-08,0.0171,0.002619172,0,-4.85E-05,-0.015770549,0.002020699,-0.013127201,0.19998835,-0.008212912,0.03269963,-0.015819039,-0.00848733,0.10567606,0.191775438,0.297451498,,,
1808,0.081579922,0.028987223,0.004277405,4.62E-08,0.0174,0.00266435,0,-0.000877049,-0.027035347,0.002073786,-0.013365586,0.199993825,-0.029866525,0.033264674,-0.027912396,-0.008627451,0.09570475,0.1701273,0.26583205,,,
1809,0.082976718,0.029478463,0.00435092,4.70E-08,0.0177,0.002709502,0,-0.001090724,-0.021487029,0.002132739,-0.013603972,-3.746059499,-0.049382858,0.03382943,-0.022577753,-0.008761731,0.103166664,-3.795442357,-3.692275692,,,
1810,0.084373187,0.029969423,0.004424426,4.77E-08,0.018,0.002754629,0,-0.001137746,-0.023137441,0.002221361,-0.013842358,-2.57732827,-0.062799362,0.034393897,-0.024275188,-0.008866368,0.103625528,-2.640127632,-2.536502104,,,
1811,0.085769329,0.030460102,0.004497925,4.85E-08,0.0183,0.002799729,0,-0.000173818,-0.017387191,0.002264094,-0.014080744,-0.797852262,-0.067495138,0.034958075,-0.017561009,-0.009016921,0.112449474,-0.865347401,-0.752897926,,,
1812,0.087165143,0.030950502,0.004571415,4.93E-08,0.0186,0.002844804,0,0.00039368,-0.012812548,0.00229659,-0.014319129,-0.138142679,-0.06222214,0.035521967,-0.012418868,-0.009177735,0.119690506,-0.20036482,-0.080674313,,,
1813,0.088560631,0.031440622,0.004644898,5.01E-08,0.0189,0.002889853,0,-0.000425826,-0.015089167,0.002320999,-0.014557515,0.086277768,-0.046543551,0.036085571,-0.015514993,-0.009346663,0.118684546,0.039734217,0.158418763,,,
1814,0.089955793,0.031930464,0.004718373,5.09E-08,0.0192,0.002934877,0,-0.002279069,-0.026989182,0.002349183,-0.014795901,0.161791115,-0.025638766,0.036648888,-0.029268251,-0.009511841,0.107024588,0.136152349,0.243176937,,,
1815,0.091350628,0.032420026,0.004791841,5.17E-08,0.0195,0.002979875,0,-0.000835019,-0.023259469,0.002384588,-0.015034287,-3.719522573,-0.006668454,0.037211919,-0.024094488,-0.009669823,0.114298235,-3.726191027,-3.611892792,,,
1816,0.092745136,0.032909311,0.0048653,5.25E-08,0.0198,0.003024847,0,-0.001623226,-0.021535552,0.002444129,-0.01535772,-4.816199118,0.004938382,0.037774664,-0.023158778,-0.009888744,0.117272278,-4.811260736,-4.693988458,,,
1817,0.094139319,0.033398318,0.004938752,5.33E-08,0.0201,0.003069794,0,-0.000805974,-0.02434365,0.00247801,-0.015727943,-1.694761301,0.006685648,0.038337123,-0.025149625,-0.010180139,0.117246678,-1.688075653,-1.570828975,,,
1818,0.095533176,0.033887048,0.005012196,5.41E-08,0.0204,0.003114716,0,-0.001279869,-0.030627766,0.002500024,-0.016098166,-0.445789927,-0.000662228,0.038899297,-0.031907635,-0.010483427,0.112441411,-0.446452155,-0.334010744,,,
1819,0.096926706,0.0343755,0.005085632,5.49E-08,0.0207,0.003159612,0,-0.001537657,-0.026880662,0.002560783,-0.016468389,-0.01735374,-0.014063132,0.039461187,-0.028418319,-0.010747994,0.11792158,-0.031416872,0.086504708,,,
1820,0.098319912,0.034863677,0.00515906,5.57E-08,0.021,0.003204482,0,-0.002899237,-0.032048537,0.00259895,-0.016838611,0.126967002,-0.031379782,0.040022792,-0.034947774,-0.011035179,0.113359751,0.09558722,0.208946971,,,
1821,0.099712792,0.035351577,0.00523248,5.65E-08,0.0213,0.003249327,0,-0.001617908,-0.030800478,0.002689762,-0.017208834,0.060677509,-0.047978805,0.040584113,-0.032418386,-0.011269745,0.117908775,0.012698704,0.130607478,,,
1822,0.101105347,0.035839201,0.005305893,5.73E-08,0.0216,0.003294147,0,-0.002845105,-0.029224386,0.00278058,-0.017579057,0.066296768,-0.059398434,0.041145151,-0.032069491,-0.01150433,0.120276677,0.006898334,0.127175011,,,
1823,0.102497576,0.036326551,0.005379297,5.81E-08,0.0219,0.003338942,0,-0.002107863,-0.024893185,0.00289775,-0.017949279,-0.306481259,-0.061800925,0.041705906,-0.027001047,-0.011712587,0.127389848,-0.368282184,-0.240892336,,,
1824,0.103889481,0.036813625,0.005452694,5.89E-08,0.0222,0.003383711,0,-0.000373941,-0.024691492,0.002999903,-0.018324278,-0.03936311,-0.050178488,0.042266379,-0.025065434,-0.011940664,0.131349762,-0.089541598,0.041808164,,,
1825,0.105281061,0.037300426,0.005526083,5.97E-08,0.0225,0.003428455,0,-0.002286255,-0.030485719,0.003100871,-0.018731523,0.116444052,-0.020240964,0.042826569,-0.032771974,-0.012202197,0.125633459,0.096203088,0.221836547,,,
1826,0.106672316,0.037786952,0.005599465,6.05E-08,0.0228,0.003473174,0,-0.001171363,-0.027467736,0.003187971,-0.019138768,0.171787267,0.01314429,0.043386477,-0.028639099,-0.012477622,0.131742073,0.184931558,0.31667363,,,
1827,0.108063247,0.038273204,0.005672838,6.13E-08,0.0231,0.003517868,0,-0.00134576,-0.031252014,0.003314893,-0.019546013,0.190514267,0.037543607,0.043946104,-0.032597774,-0.012713252,0.129798325,0.228057874,0.357856199,,,
