year,co2,ch4,n2o,other_wmghg,o3,h2o_stratospheric,contrails,aerosol-radiation_interactions,aerosol-cloud_interactions,bc_on_snow,land_use,volcanic,solar,total_anthropogenic,total_natural,total
1750,0,0,0,0,0,0,0,0,0,0,0,0.199978066,0.097590262,0,0.297568328,0.297568328
1751,0.001416069,0.000508282,7.40E-05,7.96E-10,0.0003,4.67E-05,0,0.000600808,0.004673547,-0.000358459,-0.000229074,0.199990368,0.079243973,0.007031869,0.279234341,0.286266211
1752,0.002831801,0.001016257,0.000147946,1.59E-09,0.0006,9.34E-05,0,0.001246775,0.007281382,-0.000482743,-0.000458148,0.199994508,0.049166043,0.01227668,0.249160551,0.261437232
1753,0.004247196,0.001523925,0.000221906,2.39E-09,0.0009,0.000140071,0,0.000536522,0.004741737,-0.000372534,-0.000687222,0.199995892,0.012988284,0.011251603,0.212984176,0.224235779
1754,0.005662254,0.002031287,0.000295859,3.18E-09,0.0012,0.000186705,0,-0.000874664,-0.001999722,2.28E-05,-0.000916296,0.199996357,-0.021426608,0.005608203,0.178569749,0.184177951
1755,0.007076975,0.002538343,0.000369803,3.98E-09,0.0015,0.000233311,0,0.000584558,0.001293127,2.02E-05,-0.001145369,0.173027884,-0.045903927,0.012470977,0.127123956,0.139594933
1756,0.00849136,0.003045094,0.00044374,4.77E-09,0.0018,0.000279889,0,0.000181816,0.004471208,-0.000416749,-0.001374443,-0.077672576,-0.053485812,0.016921918,-0.131158388,-0.11423647
1757,0.009905408,0.00355154,0.000517668,5.57E-09,0.0021,0.000326438,0,0.000450482,-0.005491773,0.000723172,-0.001603517,0.066351195,-0.034343893,0.010479422,0.032007301,0.042486724
1758,0.01131912,0.004057682,0.000591588,6.37E-09,0.0024,0.00037296,0,0.000463808,-0.001830206,0.00032911,-0.001832591,0.153268066,0.017013236,0.015871478,0.170281302,0.18615278
1759,0.012732496,0.00456352,0.0006655,7.16E-09,0.0027,0.000419454,0,-0.000160438,-0.002643909,0.000280861,-0.002061665,0.184216499,0.067512332,0.016495827,0.251728831,0.268224659
1760,0.014145536,0.005069055,0.000739404,7.96E-09,0.003,0.00046592,0,-0.001401184,-0.00678171,0.000432883,-0.002290739,0.194692096,0.092395267,0.013379174,0.287087363,0.300466537
1761,0.015558241,0.005574287,0.0008133,8.75E-09,0.0033,0.000512359,0,-5.10E-05,-0.005145192,0.00057586,-0.002519813,0.198214589,0.086248636,0.018618096,0.284463225,0.303081321
1762,0.01697061,0.006079216,0.000887188,9.55E-09,0.0036,0.000558769,0,-0.000670317,-0.001573338,5.63E-05,-0.002748887,-0.806271446,0.064158206,0.023159576,-0.742113239,-0.718953663
1763,0.018382644,0.006583844,0.000961068,1.03E-08,0.0039,0.000605152,0,-0.000452775,-0.00183111,0.000132526,-0.002977961,-0.495250595,0.030819754,0.025303399,-0.464430841,-0.439127442
1764,0.019794342,0.007088171,0.00103494,1.11E-08,0.0042,0.000651507,0,0.001833799,0.008002684,-0.000379386,-0.003207034,-0.049791932,-0.005935226,0.039019034,-0.055727159,-0.016708125
1765,0.021205706,0.007592196,0.001108804,1.19E-08,0.0045,0.000697834,0,-0.000706427,-0.004603439,0.000371595,-0.003436108,0.115351391,-0.035779147,0.026730173,0.079572243,0.106302417
1766,0.022616735,0.008095921,0.00118266,1.27E-08,0.0048,0.000744134,0,0.000815317,0.000707445,0.000181184,-0.003665182,-0.20472549,-0.049897677,0.035478227,-0.254623168,-0.219144941
1767,0.024027429,0.008599346,0.001256508,1.35E-08,0.0051,0.000790406,0,0.00065604,0.000108771,0.000210048,-0.003894256,-0.262005657,-0.036715182,0.036854306,-0.29872084,-0.261866534
1768,0.025437789,0.009102472,0.001330348,1.43E-08,0.0054,0.00083665,0,-0.000632181,-0.012373115,0.001229684,-0.00412333,0.026420788,0.019446927,0.026208332,0.045867715,0.072076047
1769,0.026847815,0.009605299,0.001404179,1.51E-08,0.0057,0.000882868,0,-0.000615405,-0.006228795,0.000573237,-0.004352404,0.140854668,0.085593411,0.033816808,0.22644808,0.260264888
1770,0.028257506,0.010107827,0.001478003,1.59E-08,0.006,0.000929057,0,-0.00061073,-0.006496589,0.000598209,-0.004581478,0.033996593,0.117262601,0.035681822,0.151259194,0.186941017
1771,0.029666864,0.010610057,0.001551819,1.67E-08,0.0063,0.00097522,0,0.000658387,0.001823868,4.25E-05,-0.004810552,0.092364024,0.109711917,0.046818193,0.202075941,0.248894134
1772,0.031075888,0.01111199,0.001625627,1.75E-08,0.0066,0.001021355,0,0.001391046,0.005471857,-0.000157058,-0.005039626,0.161483452,0.086779056,0.053101095,0.248262508,0.301363603
1773,0.032484578,0.011613625,0.001699426,1.83E-08,0.0069,0.001067462,0,0.000970399,0.003942088,-7.51E-05,-0.005268699,0.186952381,0.050835306,0.053333759,0.237787686,0.291121446
1774,0.033892935,0.012114964,0.001773218,1.91E-08,0.0072,0.001113543,0,-0.000879843,-0.008238385,0.000821483,-0.005497773,0.195610024,0.010086575,0.042300161,0.205696599,0.24799676
1775,0.035300958,0.012616007,0.001847002,1.99E-08,0.0075,0.001159596,0,0.000878345,-0.003450319,0.000736296,-0.005726847,0.198522881,-0.025638766,0.050861058,0.172884115,0.223745173
1776,0.036708649,0.013116753,0.001920777,2.07E-08,0.0078,0.001205622,0,0.000495967,0.000830594,0.00020366,-0.005955921,0.199501557,-0.046793161,0.056326122,0.152708396,0.209034517
1777,0.038116007,0.013617205,0.001994545,2.15E-08,0.0081,0.00125162,0,0.001167707,-0.005317884,0.001041943,-0.006184995,0.199830301,-0.042986618,0.053786169,0.156843683,0.210629852
1778,0.039523031,0.014117362,0.002068305,2.23E-08,0.0084,0.001297592,0,0.000869444,-0.00960609,0.00144241,-0.006414069,0.199940734,0.001646658,0.051698007,0.201587393,0.253285399
1779,0.040929724,0.014617224,0.002142057,2.31E-08,0.0087,0.001343537,0,0.000848229,-0.004261162,0.000888583,-0.006643143,0.199977834,0.07305054,0.058565072,0.273028374,0.331593447
1780,0.042336084,0.015116793,0.0022158,2.39E-08,0.009,0.001389455,0,-0.000536844,-0.011086656,0.001316392,-0.006872217,0.199990297,0.115827347,0.05287883,0.315817644,0.368696474
1781,0.043742112,0.015616068,0.002289536,2.47E-08,0.0093,0.001435345,0,0.000897247,-0.007963411,0.001317733,-0.007101291,0.199994485,0.115671341,0.059533364,0.315665826,0.375199189
1782,0.045147808,0.01611505,0.002363264,2.55E-08,0.0096,0.001481209,0,0.000107435,-0.005716968,0.000900497,-0.007330364,0.199995887,0.091381229,0.062667957,0.291377116,0.354045073
1783,0.046553172,0.01661374,0.002436984,2.63E-08,0.0099,0.001527046,0,0.00033194,-0.003911862,0.000759141,-0.007559438,-1.792085248,0.054517044,0.066650748,-1.737568204,-1.670917456
1784,0.047958204,0.017112138,0.002510696,2.71E-08,0.0102,0.001572856,0,0.002540111,0.002461668,0.000612213,-0.007788512,-3.881461175,0.010991409,0.077179401,-3.870469765,-3.793290364
1785,0.049362905,0.017610244,0.0025844,2.79E-08,0.0105,0.001618639,0,0.000180583,-0.006229737,0.000977192,-0.008017586,-1.476096235,-0.025701169,0.068586667,-1.501797403,-1.433210736
1786,0.050767274,0.018108058,0.002658096,2.86E-08,0.0108,0.001664396,0,0.001583622,-0.001945719,0.000872457,-0.00824666,-0.547803265,-0.044999093,0.076261553,-0.592802358,-0.516540805
