Year,HadCRUT5 (degC),HadCRUT5 uncertainty
1850,-0.09,0.17
1851,0.09,0.18
1852,0.1,0.18
1853,0.06,0.16
1854,0.03,0.14
1855,0.03,0.14
1856,0.01,0.15
1857,-0.14,0.15
1858,-0.06,0.15
1859,0.04,0.14
1860,-0.06,0.15
1861,-0.1,0.17
1862,-0.21,0.17
1863,-0.02,0.19
1864,-0.14,0.18
1865,-0.01,0.19
1866,-0.02,0.18
1867,-0.03,0.2
1868,-0.03,0.18
1869,0.01,0.16
1870,0,0.14
1871,-0.04,0.15
1872,0,0.14
1873,-0.02,0.13
1874,-0.05,0.13
1875,-0.05,0.14
1876,-0.1,0.14
1877,0.22,0.13
1878,0.31,0.12
1879,0.02,0.13
1880,0.01,0.12
1881,0.09,0.13
1882,0.03,0.12
1883,-0.02,0.11
1884,-0.17,0.11
1885,-0.15,0.11
1886,-0.09,0.1
1887,-0.17,0.12
1888,-0.05,0.11
1889,0.08,0.12
1890,-0.18,0.13
1891,-0.08,0.14
1892,-0.18,0.14
1893,-0.17,0.14
1894,-0.16,0.14
1895,-0.12,0.13
1896,0.04,0.13
1897,0.07,0.14
1898,-0.16,0.13
1899,-0.03,0.13
1900,0.09,0.13
1901,0.03,0.13
1902,-0.11,0.13
1903,-0.21,0.12
1904,-0.27,0.13
1905,-0.08,0.12
1906,0.01,0.13
1907,-0.18,0.12
1908,-0.19,0.12
1909,-0.21,0.11
1910,-0.2,0.11
1911,-0.21,0.11
1912,-0.15,0.1
1913,-0.14,0.11
1914,0.06,0.11
1915,0.13,0.12
1916,-0.09,0.13
1917,-0.22,0.13
1918,-0.1,0.14
1919,0,0.14
1920,0.03,0.13
1921,0.09,0.12
1922,-0.01,0.11
1923,0.01,0.11
1924,0.01,0.11
1925,0.04,0.11
1926,0.2,0.11
1927,0.1,0.1
1928,0.12,0.11
1929,-0.07,0.11
1930,0.15,0.11
1931,0.22,0.11
1932,0.18,0.11
1933,0,0.1
1934,0.15,0.1
1935,0.12,0.1
1936,0.16,0.09
1937,0.31,0.1
1938,0.31,0.1
1939,0.29,0.11
1940,0.4,0.12
1941,0.36,0.2
1942,0.33,0.2
1943,0.33,0.21
1944,0.47,0.2
1945,0.37,0.2
1946,0.21,0.15
1947,0.23,0.14
1948,0.2,0.13
1949,0.18,0.11
1950,0.1,0.11
1951,0.26,0.09
1952,0.34,0.1
1953,0.4,0.1
1954,0.21,0.09
1955,0.13,0.09
1956,0.06,0.08
1957,0.29,0.07
1958,0.31,0.07
1959,0.28,0.06
1960,0.21,0.06
1961,0.31,0.05
1962,0.26,0.05
1963,0.29,0.05
1964,0.02,0.04
1965,0.12,0.05
1966,0.18,0.05
1967,0.21,0.04
1968,0.16,0.04
1969,0.29,0.04
1970,0.24,0.04
1971,0.12,0.04
1972,0.23,0.04
1973,0.38,0.04
1974,0.15,0.04
1975,0.22,0.04
1976,0.11,0.04
1977,0.43,0.04
1978,0.33,0.04
1979,0.42,0.03
1980,0.52,0.03
1981,0.58,0.03
1982,0.36,0.04
1983,0.55,0.04
1984,0.37,0.04
1985,0.38,0.03
1986,0.42,0.03
1987,0.57,0.03
1988,0.61,0.04
1989,0.51,0.03
1990,0.69,0.04
1991,0.66,0.03
1992,0.45,0.03
1993,0.49,0.04
1994,0.56,0.04
1995,0.7,0.03
1996,0.6,0.03
1997,0.75,0.03
1998,0.9,0.03
1999,0.65,0.03
2000,0.66,0.03
2001,0.82,0.03
2002,0.87,0.03
2003,0.87,0.03
2004,0.79,0.03
2005,0.93,0.03
2006,0.9,0.03
2007,0.92,0.03
2008,0.79,0.03
2009,0.92,0.03
2010,1.01,0.03
2011,0.86,0.03
2012,0.9,0.03
2013,0.95,0.04
2014,1,0.03
2015,1.15,0.03
2016,1.26,0.03
2017,1.17,0.03
2018,1.09,0.03
2019,1.22,0.03
2020,1.25,0.03
2021,1.09,0.04
2022,1.13,0.04
2023,1.43,0.04
2024,1.51,0.1
