year,total_forcing,,,,,,,,,,,,,,,,,,,,,
1750,0.297568328,,,,,,,,,,,,,,,,,,,,,
1751,0.286642108,,,,,,,,,,,,,,,,,,,0.00058226,0.005274355,-0.000211635
1752,0.261954864,,,,,,,,,,,,,,,,,,,,,
1753,0.224660605,,,,,,,,,,,,,,,,,,,,,
1754,0.184224882,,,,,,,,,,,,,,,,,,,,,
1755,0.139661812,,,,,,,,,,,,,,,,,,,,,
1756,-0.113709867,,,,,,,,,,,,,,,,,,,,,
1757,0.041890767,,,,,,,,,,,,,,,,,,,,,
1758,0.185968228,,,,,,,,,,,,,,,,,,,,,
1759,0.268105681,,,,,,,,,,,,,,,,,,,,,
1760,0.300212815,,,,,,,,,,,,,,,,,,,,,
1761,0.302706988,,,,,,,,,,,,,,,,,,,,,
1762,-0.718794091,,,,,,,,,,,,,,,,,,,,,
1763,-0.439029718,,,,,,,,,,,,,,,,,,,,,
1764,-0.016084154,,,,,,,,,,,,,,,,,,,,,
1765,0.106189724,,,,,,,,,,,,,,,,,,,,,
1766,-0.219042307,,,,,,,,,,,,,,,,,,,,,
1767,-0.261778483,,,,,,,,,,,,,,,,,,,,,
1768,0.071158725,,,,,,,,,,,,,,,,,,,,,
1769,0.26001826,,,,,,,,,,,,,,,,,,,,,
1770,0.186683644,,,,,,,,,,,,,,,,,,,,,
1771,0.249275857,,,,,,,,,,,,,,,,,,,,,
1772,0.30201708,,,,,,,,,,,,,,,,,,,,,
1773,0.291765137,,,,,,,,,,,,,,,,,,,,,
1774,0.247815918,,,,,,,,,,,,,,,,,,,,,
1775,0.223721558,,,,,,,,,,,,,,,,,,,,,
1776,0.209627314,,,,,,,,,,,,,,,,,,,,,
1777,0.210456311,,,,,,,,,,,,,,,,,,,,,
1778,0.252783288,,,,,,,,,,,,,,,,,,,,,
1779,0.331717011,,,,,,,,,,,,,,,,,,,,,
1780,0.368505284,,,,,,,,,,,,,,,,,,,,,
1781,0.375047093,,,,,,,,,,,,,,,,,,,,,
1782,0.354338297,,,,,,,,,,,,,,,,,,,,,
1783,-1.670454791,,,,,,,,,,,,,,,,,,,,,
1784,-3.792654993,,,,,,,,,,,,,,,,,,,,,
1785,-1.432910817,,,,,,,,,,,,,,,,,,,,,
1786,-0.51608798,,,,,,,,,,,,,,,,,,,,,
1787,-0.070666413,,,,,,,,,,,,,,,,,,,,,
1788,0.19257052,,,,,,,,,,,,,,,,,,,,,
1789,0.352935552,,,,,,,,,,,,,,,,,,,,,
1790,0.405381622,,,,,,,,,,,,,,,,,,,,,
1791,0.410270571,,,,,,,,,,,,,,,,,,,,,
1792,0.40052375,,,,,,,,,,,,,,,,,,,,,
1793,0.371808058,,,,,,,,,,,,,,,,,,,,,
1794,0.323870191,,,,,,,,,,,,,,,,,,,,,
1795,0.294510775,,,,,,,,,,,,,,,,,,,,,
1796,0.123193974,,,,,,,,,,,,,,,,,,,,,
1797,-0.015357115,,,,,,,,,,,,,,,,,,,,,
1798,0.0819893,,,,,,,,,,,,,,,,,,,,,
1799,0.179941255,,,,,,,,,,,,,,,,,,,,,
1800,0.228875635,,,,,,,,,,,,,,,,,,,,,
1801,0.276369645,,,,,,,,,,,,,,,,,,,,,
1802,0.309185554,,,,,,,,,,,,,,,,,,,,,
1803,0.334808104,,,,,,,,,,,,,,,,,,,,,
1804,0.343604607,,,,,,,,,,,,,,,,,,,,,
1805,0.327949671,,,,,,,,,,,,,,,,,,,,,
1806,0.31890127,,,,,,,,,,,,,,,,,,,,,
1807,0.297451498,,,,,,,,,,,,,,,,,,,,,
1808,0.26583205,,,,,,,,,,,,,,,,,,,,,
1809,-3.692275692,,,,,,,,,,,,,,,,,,,,,
1810,-2.536502104,,,,,,,,,,,,,,,,,,,,,
1811,-0.752897926,,,,,,,,,,,,,,,,,,,,,
1812,-0.080674313,,,,,,,,,,,,,,,,,,,,,
1813,0.158418763,,,,,,,,,,,,,,,,,,,,,
1814,0.243176937,,,,,,,,,,,,,,,,,,,,,
1815,-3.611892792,,,,,,,,,,,,,,,,,,,,,
1816,-4.693988458,,,,,,,,,,,,,,,,,,,,,
1817,-1.570828975,,,,,,,,,,,,,,,,,,,,,
1818,-0.334010744,,,,,,,,,,,,,,,,,,,,,
1819,0.086504708,,,,,,,,,,,,,,,,,,,,,
1820,0.208946971,,,,,,,,,,,,,,,,,,,,,
1821,0.130607478,,,,,,,,,,,,,,,,,,,,,
1822,0.127175011,,,,,,,,,,,,,,,,,,,,,
1823,-0.240892336,,,,,,,,,,,,,,,,,,,,,
1824,0.041808164,,,,,,,,,,,,,,,,,,,,,
1825,0.221836547,,,,,,,,,,,,,,,,,,,,,
1826,0.31667363,,,,,,,,,,,,,,,,,,,,,
1827,0.357856199,,,,,,,,,,,,,,,,,,,,,
1828,0.359822639,,,,,,,,,,,,,,,,,,,,,
1829,0.360028448,,,,,,,,,,,,,,,,,,,,,
1830,0.338541287,,,,,,,,,,,,,,,,,,,,,
1831,-2.377073217,,,,,,,,,,,,,,,,,,,,,
1832,-1.568775311,,,,,,,,,,,,,,,,,,,,,
1833,-0.386373094,,,,,,,,,,,,,,,,,,,,,
1834,0.050382658,,,,,,,,,,,,,,,,,,,,,
1835,-1.735024556,,,,,,,,,,,,,,,,,,,,,
1836,-1.015462684,,,,,,,,,,,,,,,,,,,,,
1837,-0.078419817,,,,,,,,,,,,,,,,,,,,,
1838,0.259571312,,,,,,,,,,,,,,,,,,,,,
1839,0.362103266,,,,,,,,,,,,,,,,,,,,,
1840,0.376774341,,,,,,,,,,,,,,,,,,,,,
1841,0.355388991,,,,,,,,,,,,,,,,,,,,,
1842,0.327986751,,,,,,,,,,,,,,,,,,,,,
1843,0.307583805,,,,,,,,,,,,,,,,,,,,,
1844,0.291704303,,,,,,,,,,,,,,,,,,,,,
1845,0.281923785,,,,,,,,,,,,,,,,,,,,,
1846,0.098147936,,,,,,,,,,,,,,,,,,,,,
1847,0.166386321,,,,,,,,,,,,,,,,,,,,,
1848,0.258414869,,,,,,,,,,,,,,,,,,,,,
1849,0.308767661,,,,,,,,,,,,,,,,,,,,,
1850,0.329762425,,,,,,,,,,,,,,,,,,,,,
1851,0.329762425,,,,,,,,,,,,,,,,,,,,,
1852,0.329762425,,,,,,,,,,,,,,,,,,,,,
1853,0.329762425,,,,,,,,,,,,,,,,,,,,,
1854,0.329762425,,,,,,,,,,,,,,,,,,,,,
1855,0.329762425,,,,,,,,,,,,,,,,,,,,,
1856,0.329762425,,,,,,,,,,,,,,,,,,,,,
1857,0.329762425,,,,,,,,,,,,,,,,,,,,,
1858,0.329762425,,,,,,,,,,,,,,,,,,,,,
1859,0.329762425,,,,,,,,,,,,,,,,,,,,,
